"7_2_1Proporción de la energía renovable en el consumo final total de energía",""
"Objetivo","Garantizar el acceso a una energía asequible, fiable, sostenible y moderna para todos"
"Meta","De aquí a 2030, aumentar considerablemente la proporción de energía renovable en el conjunto de fuentes energéticas"
"Nombre del Indicador","Proporción de la energía renovable en el consumo final total de energía"
"Definición","Mide la participación de energías renovables en el consumo final energético en el país. Se determina sumando el consumo energético de Biogas, Bagazo de Caña, Eólica, Geotermia, Hidráulica, Leña y Solar, dividida por el consumo final de energía (Carbón, Coque, Renovables, Petrolíferos, Gas seco y Electricidad)."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","Se calcula dividiendo el consumo de energía de todas las fuentes renovables por el consumo total de energía final, multiplicado por 100; el consumo de energía renovable se deriva de tres tablas de las estadísticas mundiales de la energía de la AIE y saldos: consumo final total, la producción de electricidad y de calor."
"Unidad de medida","Porcentaje"
"Cobertura geográfica","Nacional"
"Referencia temporal","2004-2015"
"Oportunidad","Un año"
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Secretaría de Energía. Sistema de Información Energética. Balance Nacional de EnergíaSecretaría de Energía. Reporte de Avances de Energías Limpias"
"Fecha de actualización del indicador","19 de junio de 2017"
"Fecha de próxima actualización del indicador","Mayo de 2018"
"Unidad de Estado (UE) responsable de calcular el indicador","Secretaría de Energía (SENER), Dirección General de Energías Limpias y Dirección General de Planeación e Información Energéticas.
SENER"
"Importancia y utilidad del indicador","Muestra el avance del uso de fuentes de energías renovables en la matriz energética del país."
"Referencia nacional y/o internacional",""
"Observaciones","Consumo total de energía renovable se obtiene a partir de sumar:
1. Las generación bruta de electricidad a partir de energías renovables (Hidráulica, Eólica, Geotermia, Solar fotovoltaica, Bagazo, Biogas), al cual se resta perdidas de energía por transmisión y distribución.
2. Más el consumo final de Leña, Bagazo de caña y Solar."
"Contacto","Mtra. Jessica Rodríguez Aguilar
Directora de Energías Renovables
Teléfono: 5000 6000 ext. 1382
Email: jsrodriguez@energia.gob.mx
Dirección: Insurgentes Sur #890 Colonia del Valle, C.P. 03100 Benito Juárez, Benito Juárez , Ciudad de México"
"",""
"",""
"",""
"",""
