"10_a_1Proporción de líneas arancelarias que se aplican a las importaciones de los países menos adelantados y los países en desarrollo con arancel cero",""
"Objetivo","Reducir la desigualdad en los países y entre ellos"
"Meta","Aplicar el principio del trato especial y diferenciado para los países en desarrollo, en particular los países menos adelantados, de conformidad con los acuerdos de la Organización Mundial del Comercio"
"Nombre del Indicador","Proporción de líneas arancelarias que se aplican a las importaciones de los países menos adelantados y los países en desarrollo con arancel cero"
"Definición","El porcentaje de fracciones en las que se obtiene el arancel efectivamente pagado en cero (ya sea por que esta exento o por que entra en algún régimen especial), respecto al número de fracciones en el total de la Tarifa del Impuesto General de Importación de México."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","El porcentaje de fracciones con arancel efectivamente pagado en cero, ya sea por medio de la TIGIE o de algún régimen especial de importación, respecto al número de fracciones totales de la tarifa del impuesto general de importación de México."
"Unidad de medida","Porcentaje"
"Cobertura geográfica","Nacional"
"Referencia temporal","2015-2015"
"Oportunidad","3 meses después del año de referencia."
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Instituto Nacional de Estadística y Geografía (INEGI). Balanza Comercial de Mercancías de México, 2015. http://www.inegi.org.mx/est/contenidos/proyectos/registros/economicas/comercio/pub_y_prod/ Consultado en marzo de 2017.Secretaría de Economía (SE). Tarifa del Impuesto General de Importación (TIGIE 2015)."
"Fecha de actualización del indicador","24 de abril de 2017"
"Fecha de próxima actualización del indicador","Abril de 2017"
"Unidad de Estado (UE) responsable de calcular el indicador","Secretaría de Economía (SE). Subsecretaría de Comercio Exterior (SCE). Unidad de Negociaciones Internacionales (UNI).
SE"
"Importancia y utilidad del indicador","Es indicador del grado de apertura alcanzado por México, la transparencia y el trato equitativo que otorga a los países en el marco de la Organización Mundial del Comercio (OMC)."
"Referencia nacional y/o internacional",""
"Observaciones","<b>México no aplica un tratamiento diferenciado para este grupo de países.</b>
Los datos que se utilizan para el cálculo de los países menos adelantados y los países en desarrollo son los que oficialmente considera la Organización de Naciones Unidas y la Organización Mundial del Comercio.

Los aranceles exentos considerados en el indicador incluyen aquellas fracciones que tienen un arancel exento por la TIGIE o por un programa especial de importación."
"Contacto","Lic. José Guadalupe Sáenz Solís
Coordinador de Asesores
Teléfono: 55 5729 9100, ext. 11050
Email: jose.saenz@economia.gob.mx
Dirección: Paseo de la Reforma 296 Colonia Juárez, 6600 Cuauhtémoc, Cuauhtémoc, Ciudad de México 55 5729 9100, ext. 11050"
"",""
"",""
"",""
"",""
