"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"Puruándiro","","","36.6"
"Queréndaro","","","28.8"
"Quiroga","","","35.5"
"Cojumatlán de Régules","","","45.8"
"Los Reyes","","","28.7"
"Sahuayo","","","26.4"
"San Lucas","","","27.5"
"Santa Ana Maya","","","29.1"
"Salvador Escalante","","","28.7"
"Senguio","","","36.9"
"Susupuato","","","47.9"
"Tacámbaro","","","25.8"
"Tancítaro","","","23.7"
"Tangamandapio","","","23.2"
"Tangancícuaro","","","27.4"
"Tanhuato","","","20.1"
"Taretan","","","18.4"
"Tarímbaro","","","24.8"
"Tepalcatepec","","","24.3"
"Tingambato","","","22.3"
"Tingüindín","","","19.4"
"Tiquicheo de Nicolás Romero","","","43.1"
"Tlalpujahua","","","31"
"Tlazazalca","","","18.6"
"Tocumbo","","","21.6"
"Tumbiscatío","","","42.6"
"Turicato","","","28.7"
"Tuxpan","","","40.3"
"Tuzantla","","","44.3"
"Tzintzuntzan","","","28.6"
"Tzitzio","","","42"
"Uruapan","","","31.4"
"Venustiano Carranza","","","23.4"
"Villamar","","","27.7"
"Vista Hermosa","","","21.8"
"Yurécuaro","","","24.5"
"Zacapu","","","27"
"Zamora","","","23.3"
"Zináparo","","","12.6"
"Zinapécuaro","","","24.2"
"Ziracuaretiro","","","24.6"
"Zitácuaro","","","37.9"
"José Sixto Verduzco","","","26.5"
"Morelos","26.9","30.7","22"
"Amacuzac","","","21.4"
"Atlatlahucan","","","24.3"
"Axochiapan","","","19.7"
"Ayala","","","26"
"Coatlán del Río","","","25.8"
"Cuautla","","","18.5"
"Cuernavaca","","","18.4"
"Emiliano Zapata","","","28.5"
"Huitzilac","","","20.5"
"Jantetelco","","","22.7"
"Jiutepec","","","20.8"
"Jojutla","","","24.6"
"Jonacatepec","","","14.9"
"Mazatepec","","","22.3"
"Miacatlán","","","28"
"Ocuituco","","","36.5"
"Puente de Ixtla","","","19"
"Temixco","","","27.1"
"Tepalcingo","","","23.3"
"Tepoztlán","","","26"
"Tetecala","","","20.7"
"Tetela del Volcán","","","23.1"
"Tlalnepantla","","","19.5"
"Tlaltizapán de Zapata","","","19.4"
"Tlaquiltenango","","","25.7"
"Tlayacapan","","","27"
"Totolapan","","","23.7"
"Xochitepec","","","25.6"
"Yautepec","","","22"
"Yecapixtla","","","26"
"Zacatepec","","","22.4"
"Zacualpan de Amilpas","","","20.4"
"Temoac","","","22.8"
"Nayarit","24.1","28.8","23.6"
"Acaponeta","","","27.8"
"Ahuacatlán","","","19.3"
"Amatlán de Cañas","","","12.6"
"Compostela","","","24.4"
"Huajicori","","","39.2"
"Ixtlán del Río","","","22.8"
"Jala","","","29.3"
"Xalisco","","","23.3"
"Del Nayar","","","52.9"
"Rosamorada","","","34"
"Ruíz","","","39.5"
"San Blas","","","23.2"
"San Pedro Lagunillas","","","17"
"Santa María del Oro","","","26.7"
"Santiago Ixcuintla","","","25.2"
"Tecuala","","","24.2"
"Tepic","","","18.6"
"Tuxpan","","","21.3"
"La Yesca","","","31"
"Bahía de Banderas","","","21.9"
"Nuevo León","14.2","17.6","15.7"
"Abasolo","","","17.2"
"Agualeguas","","","11"
"Los Aldamas","","","4.9"
"Allende","","","13.6"
"Anáhuac","","","21.4"
"Apodaca","","","13.6"
"Aramberri","","","42.3"
"Bustamante","","","16.7"
"Cadereyta Jiménez","","","17.1"
"El Carmen","","","20"
"Cerralvo","","","15.2"
"Ciénega de Flores","","","21.5"
"China","","","15.1"
"Doctor Arroyo","","","36.5"
"Doctor Coss","","","4.9"
"Doctor González","","","14.3"
"Galeana","","","35.7"
"García","","","30"
"San Pedro Garza García","","","12.9"
"General Bravo","","","15.5"
"General Escobedo","","","20.2"
"General Terán","","","15.3"
"General Treviño","","","11.1"
"General Zaragoza","","","17.7"
"General Zuazua","","","21.2"
"Guadalupe","","","12.6"
"Los Herreras","","","9.9"
"Higueras","","","17"
"Hualahuises","","","13.9"
"Iturbide","","","42.2"
"Juárez","","","18.2"
"Lampazos de Naranjo","","","18.6"
"Linares","","","20.3"
"Marín","","","14.5"
"Melchor Ocampo","","","10.9"
"Mier y Noriega","","","23.9"
"Mina","","","22.7"
"Montemorelos","","","14.5"
"Monterrey","","","16.3"
"Parás","","","4.7"
"Pesquería","","","13.9"
"Los Ramones","","","12.4"
"Rayones","","","17.8"
"Sabinas Hidalgo","","","13.9"
"Salinas Victoria","","","22.9"
"San Nicolás de los Garza","","","8.6"
"Hidalgo","","","16.3"
"Santa Catarina","","","16.9"
"Santiago","","","11.4"
"Vallecillo","","","19.5"
"Villaldama","","","11.9"
"Oaxaca","36.1","31.7","26.4"
"Abejones","","","27.8"
"Acatlán de Pérez Figueroa","","","32.6"
"Asunción Cacalotepec","","","30.1"
"Asunción Cuyotepeji","","","23.7"
"Asunción Ixtaltepec","","","15.5"
"Asunción Nochixtlán","","","19.4"
"Asunción Ocotlán","","","29.2"
"Asunción Tlacolulita","","","29.1"
"Ayotzintepec","","","37.2"
"El Barrio de la Soledad","","","20.7"
"Calihualá","","","30.8"
"Candelaria Loxicha","","","49.4"
"Ciénega de Zimatlán","","","4.2"
"Ciudad Ixtepec","","","20"
"Coatecas Altas","","","54.9"
"Coicoyán de las Flores","","","48.8"
"La Compañía","","","39.4"
"Concepción Buenavista","","","23.7"
"Concepción Pápalo","","","18.4"
"Constancia del Rosario","","","30.8"
"Cosolapa","","","19.1"
"Cosoltepec","","","26"
"Cuilápam de Guerrero","","","21.2"
"Cuyamecalco Villa de Zaragoza","","","31.4"
"Chahuites","","","27.2"
"Chalcatongo de Hidalgo","","","28.4"
"Chiquihuitlán de Benito Juárez","","","32.7"
"Heroica Ciudad de Ejutla de Crespo","","","21.5"
"Eloxochitlán de Flores Magón","","","47.6"
"El Espinal","","","13.6"
"Tamazulápam del Espíritu Santo","","","45.8"
"Fresnillo de Trujano","","","33.4"
"Guadalupe Etla","","","10.8"
"Guadalupe de Ramírez","","","37.6"
"Guelatao de Juárez","","","14.5"
"Guevea de Humboldt","","","29.3"
"Mesones Hidalgo","","","45.7"
"Villa Hidalgo","","","21"
"Heroica Ciudad de Huajuapan de León","","","15.7"
"Huautepec","","","66.9"
"Huautla de Jiménez","","","37.1"
"Ixtlán de Juárez","","","31.1"
"Heroica Ciudad de Juchitán de Zaragoza","","","17.1"
"Loma Bonita","","","19"
"Magdalena Apasco","","","10.6"
"Magdalena Jaltepec","","","31.7"
"Santa Magdalena Jicotlán","","","10.3"
"Magdalena Mixtepec","","","48.1"
"Magdalena Ocotlán","","","53.4"
"Magdalena Peñasco","","","38.5"
"Magdalena Teitipac","","","39"
"Magdalena Tequisistlán","","","15.8"
"Magdalena Tlacotepec","","","11.4"
"Magdalena Zahuatlán","","","32.5"
"Mariscala de Juárez","","","40.8"
"Mártires de Tacubaya","","","26.7"
"Matías Romero Avendaño","","","19.6"
"Mazatlán Villa de Flores","","","31.9"
"Miahuatlán de Porfirio Díaz","","","19.6"
"Mixistlán de la Reforma","","","29.4"
"Monjas","","","43.2"
"Natividad","","","11.1"
"Nazareno Etla","","","16.5"
"Nejapa de Madero","","","32.3"
"Ixpantepec Nieves","","","29.4"
"Santiago Niltepec","","","22.3"
"Oaxaca de Juárez","","","16.3"
"Ocotlán de Morelos","","","19.2"
"La Pe","","","40.3"
"Pinotepa de Don Luis","","","34.7"
"Pluma Hidalgo","","","34.1"
"San José del Progreso","","","44.5"
"Putla Villa de Guerrero","","","28.1"
"Santa Catarina Quioquitani","","","35.2"
"Reforma de Pineda","","","16.4"
"La Reforma","","","21.6"
"Reyes Etla","","","28.6"
"Rojas de Cuauhtémoc","","","12"
"Salina Cruz","","","22.2"
"San Agustín Amatengo","","","25.1"
"San Agustín Atenango","","","36.2"
"San Agustín Chayuco","","","40.3"
"San Agustín de las Juntas","","","16.6"
"San Agustín Etla","","","14.4"
"San Agustín Loxicha","","","36.2"
"San Agustín Tlacotepec","","","26.2"
"San Agustín Yatareni","","","13.5"
"San Andrés Cabecera Nueva","","","34"
"San Andrés Dinicuiti","","","28.8"
"San Andrés Huaxpaltepec","","","33.1"
"San Andrés Huayápam","","","14.2"
"San Andrés Ixtlahuaca","","","20.1"
"San Andrés Lagunas","","","21.9"
"San Andrés Nuxiño","","","53"
"San Andrés Paxtlán","","","54.9"
"San Andrés Sinaxtla","","","11.8"
"San Andrés Solaga","","","19.8"
"San Andrés Teotilálpam","","","28.6"
"San Andrés Tepetlapa","","","27.2"
"San Andrés Yaá","","","17.9"
"San Andrés Zabache","","","33.6"
"San Andrés Zautla","","","13.6"
"San Antonino Castillo Velasco","","","19.6"
"San Antonino el Alto","","","38.1"
"San Antonino Monte Verde","","","40.3"
"San Antonio Acutla","","","22.1"
"San Antonio de la Cal","","","17.4"
"San Antonio Huitepec","","","33.2"
"San Antonio Nanahuatípam","","","16.4"
"San Antonio Sinicahua","","","56.2"
"San Antonio Tepetlapa","","","49.2"
"San Baltazar Chichicápam","","","14.1"
"San Baltazar Loxicha","","","34.7"
"San Baltazar Yatzachi el Bajo","","","22.1"
"San Bartolo Coyotepec","","","18.1"
"San Bartolomé Ayautla","","","78.4"
"San Bartolomé Loxicha","","","36.2"
"San Bartolomé Quialana","","","16"
"San Bartolomé Yucuañe","","","35.3"
"San Bartolomé Zoogocho","","","11.6"
"San Bartolo Soyaltepec","","","29.2"
"San Bartolo Yautepec","","","26.7"
"San Bernardo Mixtepec","","","30.1"
"San Blas Atempa","","","32.8"
"San Carlos Yautepec","","","31.9"
"San Cristóbal Amatlán","","","76.5"
"San Cristóbal Amoltepec","","","48.6"
"San Cristóbal Lachirioag","","","12.4"
"San Cristóbal Suchixtlahuaca","","","9.2"
"San Dionisio del Mar","","","35.7"
"San Dionisio Ocotepec","","","42.1"
"San Dionisio Ocotlán","","","21.5"
"San Esteban Atatlahuca","","","56.7"
"San Felipe Jalapa de Díaz","","","51.9"
"San Felipe Tejalápam","","","24.6"
"San Felipe Usila","","","38.2"
"San Francisco Cahuacuá","","","41"
"San Francisco Cajonos","","","14"
"San Francisco Chapulapa","","","46.8"
"San Francisco Chindúa","","","35.4"
"San Francisco del Mar","","","32"
"San Francisco Huehuetlán","","","30.9"
"San Francisco Ixhuatán","","","31.3"
"San Francisco Jaltepetongo","","","29"
"San Francisco Lachigoló","","","15.5"
"San Francisco Logueche","","","40.6"
"San Francisco Nuxaño","","","25.2"
"San Francisco Ozolotepec","","","39.9"
"San Francisco Sola","","","29.6"
"San Francisco Telixtlahuaca","","","15.9"
"San Francisco Teopan","","","32.2"
"San Francisco Tlapancingo","","","42.2"
"San Gabriel Mixtepec","","","27"
"San Ildefonso Amatlán","","","40.3"
"San Ildefonso Sola","","","62.8"
"San Ildefonso Villa Alta","","","18.9"
"San Jacinto Amilpas","","","14.8"
"San Jacinto Tlacotepec","","","29.8"
"San Jerónimo Coatlán","","","37"
"San Jerónimo Silacayoapilla","","","22.8"
"San Jerónimo Sosola","","","22.5"
"San Jerónimo Taviche","","","48.3"
"San Jerónimo Tecóatl","","","57.2"
"San Jorge Nuchita","","","48.5"
"San José Ayuquila","","","29.6"
"San José Chiltepec","","","29.1"
"San José del Peñasco","","","36.1"
"San José Estancia Grande","","","34.2"
"San José Independencia","","","31.4"
"San José Lachiguiri","","","45.6"
"San José Tenango","","","34.1"
"San Juan Achiutla","","","5.7"
"San Juan Atepec","","","30.5"
"Ánimas Trujano","","","16.7"
"San Juan Bautista Atatlahuca","","","23.4"
"San Juan Bautista Coixtlahuaca","","","32.7"
"San Juan Bautista Cuicatlán","","","27.6"
"San Juan Bautista Guelache","","","8.8"
"San Juan Bautista Jayacatlán","","","27.7"
"San Juan Bautista Lo de Soto","","","24.3"
"San Juan Bautista Suchitepec","","","24.6"
"San Juan Bautista Tlacoatzintepec","","","30.9"
"San Juan Bautista Tlachichilco","","","37.3"
"San Juan Bautista Tuxtepec","","","24.8"
"San Juan Cacahuatepec","","","30.9"
"San Juan Cieneguilla","","","28.7"
"San Juan Coatzóspam","","","58"
"San Juan Colorado","","","41.6"
"San Juan Comaltepec","","","35.7"
"San Juan Cotzocón","","","25.2"
"San Juan Chicomezúchil","","","14.2"
"San Juan Chilateca","","","7.6"
"San Juan del Estado","","","15.6"
"San Juan del Río","","","16.4"
"San Juan Diuxi","","","37"
"San Juan Evangelista Analco","","","4.2"
"San Juan Guelavía","","","20.1"
"San Juan Guichicovi","","","26.7"
"San Juan Ihualtepec","","","38.6"
"San Juan Juquila Mixes","","","35.1"
"San Juan Juquila Vijanos","","","25.8"
"San Juan Lachao","","","62.4"
"San Juan Lachigalla","","","38.3"
"San Juan Lajarcia","","","26"
"San Juan Lalana","","","30.4"
"San Juan de los Cués","","","38.7"
"San Juan Mazatlán","","","35"
"San Juan Mixtepec -Dto. 08 -","","","40"
"San Juan Mixtepec -Dto. 26 -","","","24"
"San Juan Ñumí","","","44.1"
"San Juan Ozolotepec","","","40"
"San Juan Petlapa","","","47.2"
"San Juan Quiahije","","","27.3"
"San Juan Quiotepec","","","31.9"
"San Juan Sayultepec","","","28.9"
"San Juan Tabaá","","","20.8"
"San Juan Tamazola","","","49.7"
"San Juan Teita","","","32.2"
"San Juan Teitipac","","","17.3"
"San Juan Tepeuxila","","","24.4"
"San Juan Teposcolula","","","28.3"
"San Juan Yaeé","","","27.4"
"San Juan Yatzona","","","27"
"San Juan Yucuita","","","25.5"
"San Lorenzo","","","32.2"
"San Lorenzo Albarradas","","","19.8"
"San Lorenzo Cacaotepec","","","11.7"
"San Lorenzo Cuaunecuiltitla","","","31.9"
"San Lorenzo Texmelúcan","","","43.4"
"San Lorenzo Victoria","","","31.1"
"San Lucas Camotlán","","","45.4"
"San Lucas Ojitlán","","","54.5"
"San Lucas Quiaviní","","","16.5"
"San Lucas Zoquiápam","","","46.8"
"San Luis Amatlán","","","20.2"
"San Marcial Ozolotepec","","","42.9"
"San Marcos Arteaga","","","29.9"
"San Martín de los Cansecos","","","32.5"
"San Martín Huamelúlpam","","","29.8"
"San Martín Itunyoso","","","74.2"
"San Martín Lachilá","","","25.5"
"San Martín Peras","","","45.1"
"San Martín Tilcajete","","","17.8"
"San Martín Toxpalan","","","33.7"
"San Martín Zacatepec","","","26.8"
"San Mateo Cajonos","","","26.8"
"Capulálpam de Méndez","","","44.5"
"San Mateo del Mar","","","49.1"
"San Mateo Yoloxochitlán","","","29.5"
"San Mateo Etlatongo","","","32.7"
"San Mateo Nejápam","","","24.3"
"San Mateo Peñasco","","","48"
"San Mateo Piñas","","","44.9"
"San Mateo Río Hondo","","","46.4"
"San Mateo Sindihui","","","32.5"
"San Mateo Tlapiltepec","","","13.1"
"San Melchor Betaza","","","24.2"
"San Miguel Achiutla","","","20.9"
"San Miguel Ahuehuetitlán","","","31.4"
"San Miguel Aloápam","","","24.8"
"San Miguel Amatitlán","","","47.8"
"San Miguel Amatlán","","","13.9"
"San Miguel Coatlán","","","34.4"
"San Miguel Chicahua","","","69.5"
"San Miguel Chimalapa","","","29.9"
"San Miguel del Puerto","","","27.9"
"San Miguel del Río","","","17.1"
"San Miguel Ejutla","","","26.7"
"San Miguel el Grande","","","26.7"
"San Miguel Huautla","","","66.5"
"San Miguel Mixtepec","","","49"
"San Miguel Panixtlahuaca","","","27.9"
"San Miguel Peras","","","34.1"
"San Miguel Piedras","","","36.2"
"San Miguel Quetzaltepec","","","33.1"
"San Miguel Santa Flor","","","29.6"
"Villa Sola de Vega","","","40.9"
"San Miguel Soyaltepec","","","44.4"
"San Miguel Suchixtepec","","","52"
"Villa Talea de Castro","","","14.5"
"San Miguel Tecomatlán","","","20"
"San Miguel Tenango","","","33.6"
"San Miguel Tequixtepec","","","20.7"
"San Miguel Tilquiápam","","","45"
"San Miguel Tlacamama","","","26.4"
"San Miguel Tlacotepec","","","35.9"
"San Miguel Tulancingo","","","4.8"
"San Miguel Yotao","","","43"
"San Nicolás","","","27"
"San Nicolás Hidalgo","","","42.5"
"San Pablo Coatlán","","","33.5"
"San Pablo Cuatro Venados","","","43"
"San Pablo Etla","","","11.4"
"San Pablo Huitzo","","","13.5"
"San Pablo Huixtepec","","","12.6"
"San Pablo Macuiltianguis","","","27.3"
"San Pablo Tijaltepec","","","49.2"
"San Pablo Villa de Mitla","","","15.2"
"San Pablo Yaganiza","","","25.1"
"San Pedro Amuzgos","","","34.2"
"San Pedro Apóstol","","","23.8"
"San Pedro Atoyac","","","36.2"
"San Pedro Cajonos","","","19.9"
"San Pedro Coxcaltepec Cántaros","","","66.6"
"San Pedro Comitancillo","","","17.9"
"San Pedro el Alto","","","58.4"
"San Pedro Huamelula","","","26.7"
"San Pedro Huilotepec","","","24.5"
"San Pedro Ixcatlán","","","32.4"
"San Pedro Ixtlahuaca","","","16.6"
"San Pedro Jaltepetongo","","","38.2"
"San Pedro Jicayán","","","33.8"
"San Pedro Jocotipac","","","26"
"San Pedro Juchatengo","","","16.1"
"San Pedro Mártir","","","56.8"
"San Pedro Mártir Quiechapa","","","21.8"
"San Pedro Mártir Yucuxaco","","","26.3"
"San Pedro Mixtepec -Dto. 22 -","","","23.1"
"San Pedro Mixtepec -Dto. 26 -","","","30.2"
"San Pedro Molinos","","","49"
"San Pedro Nopala","","","29.6"
"San Pedro Ocopetatillo","","","30.6"
"San Pedro Ocotepec","","","32.8"
"San Pedro Pochutla","","","25.1"
"San Pedro Quiatoni","","","30.1"
"San Pedro Sochiápam","","","41.3"
"San Pedro Tapanatepec","","","27.3"
"San Pedro Taviche","","","47.9"
"San Pedro Teozacoalco","","","29.7"
"San Pedro Teutila","","","48.1"
"San Pedro Tidaá","","","23.8"
"San Pedro Topiltepec","","","27.9"
"San Pedro Totolápam","","","18.3"
"Villa de Tututepec de Melchor Ocampo","","","32.6"
"San Pedro Yaneri","","","20"
"San Pedro Yólox","","","27"
"San Pedro y San Pablo Ayutla","","","44.2"
"Villa de Etla","","","19.2"
"San Pedro y San Pablo Teposcolula","","","16.7"
"San Pedro y San Pablo Tequixtepec","","","24.4"
"San Pedro Yucunama","","","32.3"
"San Raymundo Jalpan","","","18"
"San Sebastián Abasolo","","","14.8"
"San Sebastián Coatlán","","","31.8"
"San Sebastián Ixcapa","","","23.2"
"San Sebastián Nicananduta","","","25"
"San Sebastián Río Hondo","","","30"
"San Sebastián Tecomaxtlahuaca","","","34.3"
"San Sebastián Teitipac","","","15.4"
"San Sebastián Tutla","","","6.9"
"San Simón Almolongas","","","20"
"San Simón Zahuatlán","","","50.9"
"Santa Ana","","","18"
"Santa Ana Ateixtlahuaca","","","44.9"
"Santa Ana Cuauhtémoc","","","33.5"
"Santa Ana del Valle","","","12.4"
"Santa Ana Tavela","","","39.3"
"Santa Ana Tlapacoyan","","","21.5"
"Santa Ana Yareni","","","29.5"
"Santa Ana Zegache","","","52.9"
"Santa Catalina Quierí","","","38.7"
"Santa Catarina Cuixtla","","","18.6"
"Santa Catarina Ixtepeji","","","21.2"
"Santa Catarina Juquila","","","24.5"
"Santa Catarina Lachatao","","","20.2"
"Santa Catarina Loxicha","","","50.4"
"Santa Catarina Mechoacán","","","42.6"
"Santa Catarina Minas","","","32.7"
"Santa Catarina Quiané","","","14.6"
"Santa Catarina Tayata","","","22.8"
"Santa Catarina Ticuá","","","35.8"
"Santa Catarina Yosonotú","","","39.1"
"Santa Catarina Zapoquila","","","22.5"
"Santa Cruz Acatepec","","","66.6"
"Santa Cruz Amilpas","","","15.8"
"Santa Cruz de Bravo","","","15.3"
"Santa Cruz Itundujia","","","36.7"
"Santa Cruz Mixtepec","","","26"
"Santa Cruz Nundaco","","","53.5"
"Santa Cruz Papalutla","","","16.9"
"Santa Cruz Tacache de Mina","","","35.8"
"Santa Cruz Tacahua","","","45.2"
"Santa Cruz Tayata","","","29.8"
"Santa Cruz Xitla","","","50.7"
"Santa Cruz Xoxocotlán","","","16.7"
"Santa Cruz Zenzontepec","","","40.2"
"Santa Gertrudis","","","20.9"
"Santa Inés del Monte","","","37.3"
"Santa Inés Yatzeche","","","29.6"
"Santa Lucía del Camino","","","17"
"Santa Lucía Miahuatlán","","","31.4"
"Santa Lucía Monteverde","","","52.5"
"Santa Lucía Ocotlán","","","35.6"
"Santa María Alotepec","","","30.7"
"Santa María Apazco","","","58.4"
"Santa María la Asunción","","","64"
"Heroica Ciudad de Tlaxiaco","","","19.6"
"Ayoquezco de Aldama","","","22.6"
"Santa María Atzompa","","","20"
"Santa María Camotlán","","","18.5"
"Santa María Colotepec","","","27.3"
"Santa María Cortijo","","","29.1"
"Santa María Coyotepec","","","13.6"
"Santa María Chachoápam","","","26.9"
"Villa de Chilapa de Díaz","","","33.3"
"Santa María Chilchotla","","","30.8"
"Santa María Chimalapa","","","34.6"
"Santa María del Rosario","","","31.1"
"Santa María del Tule","","","11.3"
"Santa María Ecatepec","","","28.6"
"Santa María Guelacé","","","14.4"
"Santa María Guienagati","","","31.5"
"Santa María Huatulco","","","16.9"
"Santa María Huazolotitlán","","","29.4"
"Santa María Ipalapa","","","22.9"
"Santa María Ixcatlán","","","51.8"
"Santa María Jacatepec","","","39.8"
"Santa María Jalapa del Marqués","","","19.5"
"Santa María Jaltianguis","","","18.5"
"Santa María Lachixío","","","33.2"
"Santa María Mixtequilla","","","15.5"
"Santa María Nativitas","","","22"
"Santa María Nduayaco","","","24"
"Santa María Ozolotepec","","","39.2"
"Santa María Pápalo","","","32.3"
"Santa María Peñoles","","","39"
"Santa María Petapa","","","19.1"
"Santa María Quiegolani","","","39.6"
"Santa María Sola","","","23.5"
"Santa María Tataltepec","","","39.7"
"Santa María Tecomavaca","","","25.6"
"Santa María Temaxcalapa","","","17.2"
"Santa María Temaxcaltepec","","","37.5"
"Santa María Teopoxco","","","48.7"
"Santa María Tepantlali","","","31.8"
"Santa María Texcatitlán","","","50.3"
"Santa María Tlahuitoltepec","","","50"
"Santa María Tlalixtac","","","33.9"
"Santa María Tonameca","","","42.4"
"Santa María Totolapilla","","","23"
"Santa María Xadani","","","32.9"
"Santa María Yalina","","","20.4"
"Santa María Yavesía","","","20.8"
"Santa María Yolotepec","","","40.4"
"Santa María Yosoyúa","","","49.3"
"Santa María Yucuhiti","","","28.2"
"Santa María Zacatepec","","","31"
"Santa María Zaniza","","","50.9"
"Santa María Zoquitlán","","","18.9"
"Santiago Amoltepec","","","41.2"
"Santiago Apoala","","","55.3"
"Santiago Apóstol","","","19.6"
"Santiago Astata","","","27.2"
"Santiago Atitlán","","","41.8"
"Santiago Ayuquililla","","","31.5"
"Santiago Cacaloxtepec","","","31.6"
"Santiago Camotlán","","","29"
"Santiago Comaltepec","","","27"
"Santiago Chazumba","","","18.4"
"Santiago Choápam","","","31.7"
"Santiago del Río","","","30.9"
"Santiago Huajolotitlán","","","18.2"
"Santiago Huauclilla","","","26.5"
"Santiago Ihuitlán Plumas","","","26.8"
"Santiago Ixcuintepec","","","33.2"
"Santiago Ixtayutla","","","37.4"
"Santiago Jamiltepec","","","34.1"
"Santiago Jocotepec","","","30.9"
"Santiago Juxtlahuaca","","","56.4"
"Santiago Lachiguiri","","","28.1"
"Santiago Lalopa","","","29"
"Santiago Laollaga","","","21.3"
"Santiago Laxopa","","","25.5"
"Santiago Llano Grande","","","28.2"
"Santiago Matatlán","","","16.6"
"Santiago Miltepec","","","27"
"Santiago Minas","","","29.3"
"Santiago Nacaltepec","","","25.8"
"Santiago Nejapilla","","","28.9"
"Santiago Nundiche","","","49.5"
"Santiago Nuyoó","","","25.8"
"Santiago Pinotepa Nacional","","","26.2"
"Santiago Suchilquitongo","","","26.8"
"Santiago Tamazola","","","45.4"
"Santiago Tapextla","","","27.8"
"Villa Tejúpam de la Unión","","","27"
"Santiago Tenango","","","17.3"
"Santiago Tepetlapa","","","8.2"
"Santiago Tetepec","","","40.1"
"Santiago Texcalcingo","","","31"
"Santiago Textitlán","","","34"
"Santiago Tilantongo","","","47.3"
"Santiago Tillo","","","19.5"
"Santiago Tlazoyaltepec","","","34.6"
"Santiago Xanica","","","36.9"
"Santiago Xiacuí","","","24.5"
"Santiago Yaitepec","","","61.2"
"Santiago Yaveo","","","32.3"
"Santiago Yolomécatl","","","11.3"
"Santiago Yosondúa","","","29.1"
"Santiago Yucuyachi","","","32.5"
"Santiago Zacatepec","","","45.1"
"Santiago Zoochila","","","10.8"
"Nuevo Zoquiápam","","","20.3"
"Santo Domingo Ingenio","","","10.5"
"Santo Domingo Albarradas","","","25.2"
"Santo Domingo Armenta","","","29.4"
"Santo Domingo Chihuitán","","","13.6"
"Santo Domingo de Morelos","","","34.9"
"Santo Domingo Ixcatlán","","","42.2"
"Santo Domingo Nuxaá","","","47.4"
"Santo Domingo Ozolotepec","","","30.5"
"Santo Domingo Petapa","","","24.4"
"Santo Domingo Roayaga","","","44.9"
"Santo Domingo Tehuantepec","","","19.9"
"Santo Domingo Teojomulco","","","27"
"Santo Domingo Tepuxtepec","","","37.5"
"Santo Domingo Tlatayápam","","","23"
"Santo Domingo Tomaltepec","","","10"
"Santo Domingo Tonalá","","","30.2"
"Santo Domingo Tonaltepec","","","23"
"Santo Domingo Xagacía","","","33.1"
"Santo Domingo Yanhuitlán","","","29.3"
"Santo Domingo Yodohino","","","27.5"
"Santo Domingo Zanatepec","","","21.5"
"Santos Reyes Nopala","","","37.4"
"Santos Reyes Pápalo","","","33.6"
"Santos Reyes Tepejillo","","","35.8"
"Santos Reyes Yucuná","","","34.9"
"Santo Tomás Jalieza","","","27"
"Santo Tomás Mazaltepec","","","27.8"
"Santo Tomás Ocotepec","","","45.9"
"Santo Tomás Tamazulapan","","","14.1"
"San Vicente Coatlán","","","36.1"
"San Vicente Lachixío","","","36.6"
"San Vicente Nuñú","","","22.9"
"Silacayoápam","","","33"
"Sitio de Xitlapehua","","","17.8"
"Soledad Etla","","","13.2"
"Villa de Tamazulápam del Progreso","","","14.5"
"Tanetze de Zaragoza","","","19.6"
"Taniche","","","25.5"
"Tataltepec de Valdés","","","46.4"
"Teococuilco de Marcos Pérez","","","18.8"
"Teotitlán de Flores Magón","","","16.3"
"Teotitlán del Valle","","","14.6"
"Teotongo","","","20.3"
"Tepelmeme Villa de Morelos","","","24.9"
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca","","","29"
"San Jerónimo Tlacochahuaya","","","12.3"
"Tlacolula de Matamoros","","","16.9"
"Tlacotepec Plumas","","","25.5"
"Tlalixtac de Cabrera","","","18.2"
"Totontepec Villa de Morelos","","","37.8"
"Trinidad Zaachila","","","20.6"
"La Trinidad Vista Hermosa","","","17"
"Unión Hidalgo","","","15.3"
"Valerio Trujano","","","24.4"
"San Juan Bautista Valle Nacional","","","29.1"
"Villa Díaz Ordaz","","","16.8"
"Yaxe","","","68.6"
"Magdalena Yodocono de Porfirio Díaz","","","20.8"
"Yogana","","","38.2"
"Yutanduchi de Guerrero","","","35.9"
"Villa de Zaachila","","","20.7"
"San Mateo Yucutindoo","","","40.6"
"Zapotitlán Lagunas","","","34.1"
"Zapotitlán Palmas","","","23.9"
"Santa Inés de Zaragoza","","","38.7"
"Zimatlán de Álvarez","","","19.1"
"Puebla","23.9","30.1","27.6"
"Acajete","","","22.4"
"Acateno","","","25.5"
"Acatlán","","","34.2"
"Acatzingo","","","27.9"
"Acteopan","","","29.2"
"Ahuacatlán","","","25.2"
"Ahuatlán","","","26.4"
"Ahuazotepec","","","23.1"
"Ahuehuetitla","","","23.3"
"Ajalpan","","","42.3"
"Albino Zertuche","","","27.2"
"Aljojuca","","","26.8"
"Altepexi","","","35.1"
"Amixtlán","","","40.5"
"Amozoc","","","26.6"
"Aquixtla","","","26.6"
"Atempan","","","60"
"Atexcal","","","21.5"
"Atlixco","","","24.3"
"Atoyatempan","","","30.5"
"Atzala","","","30.4"
