"9_5_2Investigadores (valor equivalente a tiempo completo) por millón de habitantes",""
"Objetivo","Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación"
"Meta","Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, en particular los países en desarrollo, entre otras cosas fomentando la innovación y aumentando considerablemente, de aquí a 2030, el número de personas que trabajan en investigación y desarrollo por millón de habitantes y los gastos de los sectores público y privado en investigación y desarrollo"
"Nombre del Indicador","Investigadores (valor equivalente a tiempo completo) por millón de habitantes"
"Definición","Es el número de personas involucradas directamente en la consecución de proyectos formales de investigación y desarrollo tecnológico que laboran en el sector productivo, gobierno, educación superior e instituciones privadas sin fines de lucro en relación con el número de habitantes del país."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","Número de investigadores en el sector productivo, gobierno, educación superior e instituciones privadas sin fines de lucro por cada 1,000,000 de habitantes del país."
"Unidad de medida","Investigadores por cada millón de habitantes del país"
"Cobertura geográfica","Nacional"
"Referencia temporal","2012-2016"
"Oportunidad","Dos meses después del periodo de referencia"
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Encuesta Sobre Investigación y Desarrollo Experimental (ESIDET) e Instituto Nacional de Estadística y Geografía (INEGI).Consejo Nacional de Población (CONAPO), Proyecciones de la población de México 2010-2050 y estimaciones 1990-2009. Abril de 2013."
"Fecha de actualización del indicador","19 de junio de 2017"
"Fecha de próxima actualización del indicador","Primer trimestre de 2018"
"Unidad de Estado (UE) responsable de calcular el indicador","Consejo Nacional de Ciencia y Tecnología (CONACYT). Dirección Adjunta de Planeación y Evaluación (DAPE).
CONACYT
http://www.siicyt.gob.mx/index.php/transparencia/informes-conacyt/informe-general-del-estado-de-la-ciencia-tecnologia-e-innovacion/informe-general-2014"
"Importancia y utilidad del indicador","Conocer cómo el capital humano altamente calificado se comporta en el tiempo con relación a la población."
"Referencia nacional y/o internacional","Programa Especial de Ciencia, Tecnología e Innovación."
"Observaciones","El indicador es similar al del Programa Especial de Ciencia, Tecnología e Innovación (PECITI), con la excepción que en esta ficha es por cada millón de habitantes y en en el PECITI es respecto a cada 1000 personas de la Población Económicamente Activa ocupada."
"Contacto","Dr. Víctor Gerardo Carreón Rodríguez
Director Adjunto de Planeación y Evaluación
Teléfono: 55 5322 7700, ext. 7100
Email: vgcarreon@conacyt.mx
Dirección: Avenida Insurgentes Sur 1582 Colonia Crédito Constructor, 03940 Benito Juárez, Benito Juárez, Ciudad de México"
"",""
"",""
"",""
"",""
