"3_7_2_bTasa de fecundidad de las adolescentes de 15 a 19 años por cada 1,000 mujeres de ese grupo de edad",""
"Objetivo","Garantizar una vida sana y promover el bienestar de todos a todas las edades"
"Meta","De aquí a 2030, garantizar el acceso universal a los servicios de salud sexual y reproductiva, incluidos los de planificación familiar, información y educación, y la integración de la salud reproductiva en las estrategias y los programas nacionales"
"Nombre del Indicador","Tasa de fecundidad de las adolescentes de 15 a 19 años por cada 1,000 mujeres de ese grupo de edad"
"Definición","Número de nacimientos por cada mil mujeres entre 15 y 19 años de edad (Naciones Unidas, Departamento de Asuntos Económicos y Sociales; División de Estadísticas, 2016)."
"Tipo de Indicador","Global"
"Algoritmo",""
"Descripción narrativa del cálculo del indiciador","La tasa de fecundidad de las adolescentes es calculada como una razón multiplicada por mil. El numerador es el total de nacidos vivos de mujeres entre 15 y 19 años, y el denominador es el total de mujeres de 15 a 19 años de edad; multiplicado por mil (Naciones Unidas, Departamento de Asuntos Económicos y Sociales; División de Estadísticas, 2016)."
"Unidad de medida","Número de nacimientos por cada mil mujeres en ese grupo de edad"
"Cobertura geográfica","Nacional y entidad federativa."
"Referencia temporal","2010-2016"
"Oportunidad","Una vez que se cuente con las proyecciones actualizadas, en el momento que se requiera el dato puede proporcionarse."
"Periodicidad del indicador","Anual."
"Fuente generadora de la información estadística utilizada para el cálculo del indicador","Consejo Nacional de Población [CONAPO] (2014). https://datos.gob.mx/busca/dataset/proyecciones-de-la-poblacion-de-mexico/resource/cc508be6-9170-4685-b42b-d7f138e1817e (1 de marzo de 2017)"
"Fecha de actualización del indicador","24 de abril de 2017"
"Fecha de próxima actualización del indicador","Diciembre de 2017"
"Unidad de Estado (UE) responsable de calcular el indicador","Consejo Nacional de Población (CONAPO). Dirección General de Estudios Sociodemográficos y Prospectiva (DGESP).
CONAPO"
"Importancia y utilidad del indicador","La reducción de la fecundidad en las adolescentes y hacer frente a los múltiples factores subyacentes, son aspectos esenciales para mejorar la salud sexual y reproductiva, y el bienestar social y económico de las adolescentes.  Existe un acuerdo sustancial en la bibliografía que las mujeres que quedan embarazadas y tienen hijos/as a edades tempranas de su vida reproductiva, están sujetas a un mayor riesgo de complicaciones o incluso la muerte durante el embarazo y el parto; y se considera que su descendencia es, también, más vulnerable. Por lo tanto, la prevención de nacimientos a edad temprana en la vida de una mujer es una medida importante para mejorar la salud materna y reducir la mortalidad infantil. Por otra parte, las mujeres que tienen hijos/as a una edad temprana experimentan una reducción en las oportunidades para mejorar su situación socioeconómica, sobre todo porque es poco probable que las madres jóvenes puedan seguir estudiando y, si tienen que trabajar, puede resultar especialmente difícil compaginar las responsabilidades familiares y laborales. La tasa de natalidad entre las adolescentes también proporciona evidencia indirecta sobre el acceso a los servicios de salud pertinentes ya que los jóvenes, y en particular las mujeres adolescentes solteras, a menudo experimentan dificultades en el acceso a servicios de salud sexual y reproductiva (Naciones Unidas, Departamento de Asuntos Económicos y Sociales; División de Estadísticas, 2016)."
"Referencia nacional y/o internacional","Naciones Unidas (UN). http://www.un.org/en/development/desa/population/theme/fertility/index.shtml

Consejo Nacional de Población (CONAPO) http://datos.gob.mx/busca/dataset/proyecciones-de-la-poblacion-de-mexico"
"Observaciones","Las tasas específicas de fecundidad son <i>""... el resultado del cociente de los nacimientos ocurridos entre mujeres en edades fértiles (15-49) durante un periodo de referencia, entre el total de mujeres de dichas edades, en el mismo periodo. Aunque es posible obtener tasas por edad simple, generalmente las tasas se estiman para grupos quinquenales de edad, de tal forma que se cuenta con siete tasas específicas que abarcan todo el periodo reproductivo. De manera convencional, las tasas específicas se expresan por mil y se interpretan como el número de nacimientos observados por cada mil mujeres en un grupo de edad determinado""</i> (Consejo Nacional de Población [CONAPO], pp.26; 2011)."
"Contacto","Dra. María de la Cruz Muradás Troitiño
Directora General de Estudios Sociodemográficos y Prospectiva
Teléfono: 55 5128 0000, ext. 19511
Email: maria.muradas@conapo.gob.mx
Dirección: Doctor José María Vertiz 852 Colonia Narvarte, 03020 Benito Juárez, Benito Juárez, Ciudad de México"
"",""
"",""
"",""
"",""
